country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Bulgaria,1997,9.9450875918283,1,8.54614591350929,,1210,,,10.0099784984036,,,86.4637364673225,,8.029511
Bulgaria,1998,11.9868659228145,1,8.94489334783974,99.787337526679,1620,,,12.0224240689783,,,77.0452030341,-0.17823214828968,10.1556403
Bulgaria,1999,1.05799311729257,1,11.4781527977635,,1560,32.055,1049.731,1.08187570069266,8.19831322143764,0.250346927272972,90.0749616578503,,18.6785361
Bulgaria,2000,-2.86785142944446,1,11.955574991096,99.8789952024818,1760,57.518999999999998,1226.329,-2.8349641056967698,8.51217061681207,0.399249745955949,77.7457041594489,-0.178624525666237,20.2054851
Bulgaria,2001,-0.574645819346903,1,14.3379989497425,,2010,63.000999999999998,1455.2170000000001,-0.55371486000520398,9.14926003544204,0.396100740640663,79.0813687477668,,21.0944669
Bulgaria,2002,2.08887715511967,1,18.7772845653807,99.9665346108377,2220,78.98,1483.671,2.1042880741048098,8.48864650898847,0.451874641534349,75.2696110143524,-0.171931698918343,22.5416417
Bulgaria,2003,1.03255328543082,1,25.8951676641625,99.8596263974905,2400,85.917000000000002,1755.712,1.06913856723804,9.33973477738146,0.457046481922025,79.0138853713576,-0.087321013212204,26.9290234
Bulgaria,2004,0.569396644361709,1,33.1446365887625,99.8874580636621,2710,98.251000000000005,1925.8620000000001,0.57493153334565195,9.13026104660085,0.465795201364158,93.063897964183,0.0682040601968765,35.2255998
Bulgaria,2005,1.4162467362324,1,39.0634464945932,99.9044128656387,3110,152.35599999999999,3217.8870000000002,1.8376724299620799,13.3856192937703,0.633763526538276,99.7142112127381,0.0187454242259264,48.9041515
Bulgaria,2006,-0.151265704679539,1,42.4504456723938,99.9064648374915,3560,243.3,4214,-0.10845577258815001,15.3739734817799,0.88763354250523,111.04746275381,-0.11058596521616,65.0508061
Bulgaria,2007,-5.02188142482986,1,58.4949875415433,99.9540448188782,4240,419.3,4804,-5.0534825120298903,14.8068363514804,1.2923618822181,123.532557660753,-0.231792405247688,79.3775512
Bulgaria,2008,3.01341515154842,1,66.9724288422769,99.8927365466952,4880,528.5,5356.6,2.91916520711453,14.3926296223394,1.42002478352059,124.688747515359,-0.274787336587906,84.9960981
Bulgaria,2009,6.95675882270079,1,68.9585685249478,99.961659591645,4930,575.9,5571.6,6.9681358003782199,14.8902868620978,1.5391119613544,92.6926456036375,-0.229267567396164,91.3204649
Bulgaria,2010,6.46834508463619,1,68.2107031712536,99.9111297652125,5080,644.6,6273.3,6.4967025487081003,16.3858133195986,1.68369044455283,103.380522321192,-0.237023547291756,87.9071341
Bulgaria,2011,8.17253680993744,1,65.2804581247926,99.871685102582,5640,817.1,6448.3,8.1746859345579903,15.5459826390099,1.96991802712885,117.41810388629,-0.269264370203018,85.1124649
Bulgaria,2012,8.33609247035271,1,65.7808393531416,99.8962054029107,5780,902.1,6524,8.3829461234608296,15.4389258269367,2.13480303318203,123.971322714174,-0.281460791826248,87.1965635
Bulgaria,2013,11.0941701275642,1,66.1961882652889,99.8697723299265,5790,918.1,6753.2,11.1218762288302,16.059848592803,2.18334226634076,129.688682986482,-0.327604949474335,86.7403524
Bulgaria,2014,9.42764313778314,1,59.2247079425182,99.9236367791891,5960,624.6,6645.5,9.4490342394424101,15.4453031064821,1.45167953055582,130.267991439052,-0.302766591310501,87.0277927
Bulgaria,2015,8.24735500039962,1,54.7772479958232,99.8743596673012,6380,662.048,7177.8860000000004,8.27016389553118,15.6680142576312,1.44512987573726,126.735524668559,-0.34570524096489,87.1609891
Bulgaria,2016,10.4272386564719,1,51.9973631333966,99.8948324322701,6840,696.97400000000005,7355.835,10.436920831501601,15.0817346517755,1.429012060111,122.853879612233,-0.259969264268875,83.5328689
Bulgaria,2017,11.7555607541001,1,49.7759304421704,99.9116796851158,7420,680.68100000000004,7826.7640000000001,11.7700847262231,14.8992560207053,1.2957641865054,129.739743496115,-0.195962429046631,80.8320909
Bulgaria,2018,10.507091912242,1,50.3391599543528,99.9301858022809,8000,611.15599999999995,8063.1769999999997,10.4957585016493,14.3409960483454,1.086989133554,128.901612634046,-0.18804033100605,78.3378964
